uid,seed,label,text,m2_output,m3_output,m4_output,m3_ctx_idx,m3_ctx_examples,m2_rqi2,m3_rqi2,m4_rqi2,m2_valid,m3_valid,m4_valid,m2_math,m3_math,m4_math,m4_changed
11316,11,False,"As a nurse, I want to prescribe medication in order to save time",The system shall allow nurses to prescribe medications directly from the prescription interface.,"The system shall enable nurses to prescribe medications directly from a validated, context-aware interface within one navigation step.","The system shall enable nurses to prescribe medications directly from a validated, context-aware interface within one navigation step.","[np.int64(830), np.int64(248), np.int64(48)]","['Contraindication information should be collected to indicate why vaccinations, treatments, or antidotes may not have been administered or why the patient may not have complied with prescribed interventions.', 'It should be recognized that such ‘expert scheduling’ software does not currently exist - it should be a requirement of such software that it have an operational mode which merely supports the decision making process by presenting appropriate information.', 'Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.']",0.8516054116222345,0.85,0.85,True,True,True,"{'RQI': 0.8516054116222345, 'entropy': 3.5465935642949393, 'entropy_norm': 0.9892972558517702, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.85, 'entropy': 4.247927513443585, 'entropy_norm': 1.0, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.85, 'entropy': 4.247927513443585, 'entropy_norm': 1.0, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",False
11201,11,True,"As a doctor, I want to manage health data in order to save time","The system shall allow doctors to store, retrieve, and update patient health data with minimal manual entry.","The system shall collect, organize, and provide timely access to health data for clinical decision support.","The system shall collect, organize, and provide timely access to health data for clinical decision support.","[np.int64(757), np.int64(248), np.int64(306)]","['OM should aid in the collection and analysis of data to support identifying and containing the health event.', 'It should be recognized that such ‘expert scheduling’ software does not currently exist - it should be a requirement of such software that it have an operational mode which merely supports the decision making process by presenting appropriate information.', 'Intermediate storage of raw data in memory on different nodes and in different formats should be kept to a minimum.']",0.613,0.6625000000000001,0.6625000000000001,True,True,True,"{'RQI': 0.613, 'entropy': 4.08746284125034, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.33999999999999997, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Subjective Adjective: minimal'], 'category_counts': {'subjective_adj': 1, 'non_atomic': 1}}","{'RQI': 0.6625000000000001, 'entropy': 4.0, 'entropy_norm': 1.0, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6625000000000001, 'entropy': 4.0, 'entropy_norm': 1.0, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
9389,11,False,"As a investor, I would like to transfer funds to improve security",The system shall allow investors to transfer funds specifically designated for security enhancements.,The system shall allow investors to transfer funds directly to security enhancement accounts.,The system shall allow investors to transfer funds directly to security enhancement accounts.,"[np.int64(1024), np.int64(109), np.int64(1343)]","['Measures should be taken to reduce the risk of theft of radio equipment.', 'Later if the account needs to be upgraded the administrator can accomplish this via the administrator interface.', 'M Transfer to Shunting on driver’s selection shall only be possible when stationary.']",0.85,0.8516054116222345,0.8516054116222345,True,True,True,"{'RQI': 0.85, 'entropy': 3.700439718141093, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.8516054116222345, 'entropy': 3.5465935642949393, 'entropy_norm': 0.9892972558517702, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.8516054116222345, 'entropy': 3.5465935642949393, 'entropy_norm': 0.9892972558517702, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",False
3150,11,True,"As a caregiver, I would like to view medical records to reduce errors",The system shall display medical records to caregivers upon request.,"The system shall display complete medical records to caregivers to enable accurate, real-time access and reduce data entry errors.","The system shall display complete medical records to caregivers to enable accurate, real-time access and reduce data entry errors.","[np.int64(747), np.int64(57), np.int64(775)]","['Patient Status - (Select from list of status options populating from Patient Status Master) suppose the status is Referral then the system will have the provision to capture Referred To and Reason for Referral, the reason for Referral should be populated from Referral master.', 'Minimizing user errors: Potential user errors as well as the effort needed to recover from errors should be minimized.', 'Systems supporting OM should be able to electronically record and store data from remote devices that may be uploaded to an aggregating system.']",0.6,0.6634180742305728,0.6634180742305728,False,True,True,"{'RQI': 0.6, 'entropy': 3.321928094887362, 'entropy_norm': 1.0, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.16666666666666666, 'valid': False, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.6634180742305728, 'entropy': 4.221928094887361, 'entropy_norm': 0.993879505129515, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6634180742305728, 'entropy': 4.221928094887361, 'entropy_norm': 0.993879505129515, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
5187,11,True,"As a user, I would like to search products to complete purchase with detailed specifications and comprehensive requirements",The system shall display product specifications and requirements when a user searches for products to complete a purchase.,The system shall enable users to search products by specifications and retrieve comprehensive requirements within one second.,The system shall enable users to search products by specifications and retrieve comprehensive requirements within one second.,"[np.int64(2), np.int64(122), np.int64(1782)]","['Help Module The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.', 'The system shall be able to search for a specified product in less than 1 second.', 'The system shall provide searching ability to the users to quickly find specific topic material through the online help tool.']",0.6360513472060227,0.6625,0.6625,True,True,True,"{'RQI': 0.6360513472060227, 'entropy': 4.058813890331202, 'entropy_norm': 0.9929910186265147, 'weighted_smells': 0.3, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 1}}","{'RQI': 0.6625, 'entropy': 4.08746284125034, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6625, 'entropy': 4.08746284125034, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
5243,11,False,"As a shopper, I want to checkout so that I can complete purchase",The system shall allow a shopper to complete a purchase by submitting a checkout form.,The system shall allow a logged-in customer to proceed to checkout and finalize a purchase after items are added to the cart.,The system shall allow a logged-in customer to proceed to checkout and finalize a purchase after items are added to the cart.,"[np.int64(163), np.int64(173), np.int64(161)]","['Customer must have item(s) in the shopping cart.', 'Actors: Sales Person Weborder System Preconditions: Sales Person account must already be registered.', 'Add Item To Cart Goal Customer adds item(s) in the cart Actors: Customer Weborder System Preconditions: The customer must be logged-in on the system.']",0.8544808846149371,0.5837081437862461,0.5837081437862461,True,True,True,"{'RQI': 0.8544808846149371, 'entropy': 3.5898980954642874, 'entropy_norm': 0.9701274359004192, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.5837081437862461, 'entropy': 4.1429146733542535, 'entropy_norm': 0.9752790414250259, 'weighted_smells': 0.4, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1}}","{'RQI': 0.5837081437862461, 'entropy': 4.1429146733542535, 'entropy_norm': 0.9752790414250259, 'weighted_smells': 0.4, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1}}",False
10707,11,False,"As a doctor, I want to view medical records so that I can reduce errors with detailed specifications and comprehensive requirements",The system shall display complete medical records to enable doctors to verify patient information and detect errors.,"The system shall display complete medical records with detailed clinical data, diagnostic results, and treatment histories for accurate and timely decision-making.","The system shall display complete medical records with detailed clinical data, diagnostic results, and treatment histories for accurate and timely decision-making.","[np.int64(747), np.int64(1690), np.int64(789)]","['Patient Status - (Select from list of status options populating from Patient Status Master) suppose the status is Referral then the system will have the provision to capture Referred To and Reason for Referral, the reason for Referral should be populated from Referral master.', 'The rule set derived from legal requirements concerning “evidence checking” MUST be defined.', 'Systems supporting OM should have the ability to record the case definition for a health event.']",0.6636319081589945,0.6633126084510816,0.6633126084510816,True,True,True,"{'RQI': 0.6636319081589945, 'entropy': 3.96981578242681, 'entropy_norm': 0.9924539456067025, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6633126084510816, 'entropy': 4.368522527728206, 'entropy_norm': 0.9945826103261223, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6633126084510816, 'entropy': 4.368522527728206, 'entropy_norm': 0.9945826103261223, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
3284,11,True,"As a medical staff, I need to manage health data so I can save time",The system shall allow medical staff to save health data entries with a single action.,"The system shall enable medical staff to efficiently store, retrieve, and analyze health data for rapid event response and containment.","The system shall enable medical staff to efficiently store, retrieve, and analyze health data for rapid event response and containment.","[np.int64(757), np.int64(306), np.int64(736)]","['OM should aid in the collection and analysis of data to support identifying and containing the health event.', 'Intermediate storage of raw data in memory on different nodes and in different formats should be kept to a minimum.', 'VSP Name Staff Code Staff Name Staff Type Qualification The system will generate message while creating a new staff with existing name, but the system will allow the user to save that new staff if its required.']",0.85,0.6634180742305728,0.6634180742305728,True,True,True,"{'RQI': 0.85, 'entropy': 3.906890595608519, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.6634180742305728, 'entropy': 4.221928094887361, 'entropy_norm': 0.993879505129515, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6634180742305728, 'entropy': 4.221928094887361, 'entropy_norm': 0.993879505129515, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
10778,11,True,"As a doctor, I would like to manage health data to enhance safety with detailed specifications and comprehensive requirements","The system shall store, validate, and audit health data with specified fields, access controls, and integrity checks to ensure patient safety.","The system shall collect, validate, and store patient health data with encrypted access controls and audit trails to ensure integrity and traceability during health event response.","The system shall collect, validate, and store patient health data with encrypted access controls and audit trails to ensure integrity and traceability during health event response.","[np.int64(757), np.int64(491), np.int64(1484)]","['OM should aid in the collection and analysis of data to support identifying and containing the health event.', 'Some of these uses of the data management services will entail unique requirements that shall be fulfilled within the capability of XS services.', 'It describes in detail all that KeePass needs to work properly and with safety.']",0.6633624195081853,0.6652497889115692,0.6652497889115692,True,True,True,"{'RQI': 0.6633624195081853, 'entropy': 4.297079327540664, 'entropy_norm': 0.9942505366120983, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6652497889115692, 'entropy': 4.440636352673269, 'entropy_norm': 0.9816680739228724, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6652497889115692, 'entropy': 4.440636352673269, 'entropy_norm': 0.9816680739228724, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
4765,11,False,"As a buyer, I would like to leave review to make informed decisions",The system shall allow buyers to submit reviews to support decision-making based on observed product performance.,The system shall record and display buyer reviews to support decision-making based on verified user feedback.,The system shall record and display buyer reviews to support decision-making based on verified user feedback.,"[np.int64(1480), np.int64(45), np.int64(156)]","['Confirmation The driver’s approval/validation that new data/information shall be taken into account by the system.', 'Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next.', 'Requirement: A statement of a customer need or objective or of a condition or capability that a product must possess to satisfy such a need or objective.']",0.8511319081589946,0.6625,0.6625,True,True,True,"{'RQI': 0.8511319081589946, 'entropy': 3.96981578242681, 'entropy_norm': 0.9924539456067025, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}","{'RQI': 0.6625, 'entropy': 4.08746284125034, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}","{'RQI': 0.6625, 'entropy': 4.08746284125034, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",False
