id,text,defect,weak_word,label,seed,m1_output,m2_output,m3_tuple,m3_output,m3_ctx_idx,m3_ctx_examples,m4_output,m4_changed,m1_math,m1_rqi2,m1_valid,m2_math,m2_rqi2,m2_valid,m3_math,m3_rqi2,m3_valid,m4_math,m4_rqi2,m4_valid
442,"If the SCC detects a closed contactor (voltage at inlet, see SCC-DIS-3572) where it expects the EVSE to have open contactors (not voltage at inlet) the SCC shall",ok,close,0,11,"If the SCC detects a closed contactor (voltage at inlet, see SCC-DIS-3572) where it expects the EVSE to have open contactors (not voltage at inlet) the SCC shall",The system shall trigger an error when SCC detects voltage at inlet while expecting open contactors from EVSE.,"('The system shall generate an alarm when a closed contactor is detected at the inlet where open contactors are expected.', [np.int64(457), np.int64(1325), np.int64(589)], ['Outputs Heating Unit Signal Cooling Unit Signal Unit Status System Events Generate Alarm Data (SRS -015) Introduction There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has ex…', 'M In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application M During the transition period between two operational states (including two different national operations) the supervision provided shall …', '[SSS108] AV specific components used to perform ground based closed loop command and control functions for TCS shall be initialized upon operator selection of a specific AV.'])",The system shall generate an alarm when a closed contactor is detected at the inlet where open contactors are expected.,"[np.int64(457), np.int64(1325), np.int64(589)]","['Outputs Heating Unit Signal Cooling Unit Signal Unit Status System Events Generate Alarm Data (SRS -015) Introduction There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has ex…', 'M In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application M During the transition period between two operational states (including two different national operations) the supervision provided shall …', '[SSS108] AV specific components used to perform ground based closed loop command and control functions for TCS shall be initialized upon operator selection of a specific AV.']","The system shall generate an alarm if SCC detects closed contactor at inlet where open contactors are expected, per SCC-DIS-3572.",1,"{'RQI': 0.6, 'entropy': 4.389898095464287, 'entropy_norm': 0.9704516348198234, 'weighted_smells': 0.1, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': False, 'smell_count': 2, 'smell_list': ['Escape Clause: If', 'Escape Clause: where'], 'category_counts': {'escape': 2}}",0.6,False,"{'RQI': 0.8225, 'entropy': 4.169925001442313, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.05, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Escape Clause: when'], 'category_counts': {'escape': 1}}",0.8225,True,"{'RQI': 0.7134180742305727, 'entropy': 4.221928094887361, 'entropy_norm': 0.993879505129515, 'weighted_smells': 0.25, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 3, 'smell_list': ['Escape Clause: when', 'Escape Clause: where', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'escape': 2}}",0.7134180742305727,True,"{'RQI': 0.7133126084510817, 'entropy': 4.368522527728206, 'entropy_norm': 0.9945826103261223, 'weighted_smells': 0.25, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 3, 'smell_list': ['Escape Clause: if', 'Escape Clause: where', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'escape': 2}}",0.7133126084510817,True
429,"In convertibles, the AM-performance has to be ensured for opened and closed top-case.",ok,close,0,11,"In convertibles, the AM-performance has to be ensured for opened and closed top-case.",The system shall maintain acceptable AM performance when the convertible top case is open or closed.,"('The system shall maintain AM performance regardless of whether the top case is open or closed in convertibles.', [np.int64(1462), np.int64(51), np.int64(1026)], ['M Reversing The Reversing function shall only be possible in one active cab which is not closed at any time during the procedure.', 'Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task.', 'For example, maintenance access to antennas on vehicles should be provided.'])",The system shall maintain AM performance regardless of whether the top case is open or closed in convertibles.,"[np.int64(1462), np.int64(51), np.int64(1026)]","['M Reversing The Reversing function shall only be possible in one active cab which is not closed at any time during the procedure.', 'Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task.', 'For example, maintenance access to antennas on vehicles should be provided.']",The system shall maintain AM performance regardless of whether the top case is open or closed in convertibles.,0,"{'RQI': 0.5299999999999999, 'entropy': 3.906890595608519, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.4, 'structural_score': 0.5, 'len_penalty': 0.0, 'valid': False, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1}}",0.5299999999999999,False,"{'RQI': 0.6362243980792948, 'entropy': 3.8750000000000004, 'entropy_norm': 0.9918373461380351, 'weighted_smells': 0.3, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 1}}",0.6362243980792948,True,"{'RQI': 0.6635513472060228, 'entropy': 4.058813890331202, 'entropy_norm': 0.9929910186265147, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6635513472060228,True,"{'RQI': 0.6635513472060228, 'entropy': 4.058813890331202, 'entropy_norm': 0.9929910186265147, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6635513472060228,True
1384,Functional State A or B is not achieved or there are one or several fault entries in the fault memory of the component after the test.,ok,several,0,11,Functional State A or B is not achieved or there are one or several fault entries in the fault memory of the component after the test.,The system shall not achieve functional state A or B and shall have one or more fault entries in its fault memory after testing.,"(""The system shall indicate failure if functional state A or B is not achieved or if fault entries exist in the component's fault memory post-test."", [np.int64(271), np.int64(1471), np.int64(274)], ['Regression tests should be a part of every Gemini 8m Telescopes software package Contingencies Fault Notification Subsystems must notify the user when faults occur.', 'The failure shall be shown on the DMI.', 'Fault tollerance Should a subsystem fail (e.g.'])",The system shall indicate failure if functional state A or B is not achieved or if fault entries exist in the component's fault memory post-test.,"[np.int64(271), np.int64(1471), np.int64(274)]","['Regression tests should be a part of every Gemini 8m Telescopes software package Contingencies Fault Notification Subsystems must notify the user when faults occur.', 'The failure shall be shown on the DMI.', 'Fault tollerance Should a subsystem fail (e.g.']",The system shall indicate failure if functional state A or B is not achieved or if fault entries exist in the component's fault memory post-test.,0,"{'RQI': 0.6, 'entropy': 4.25775606412852, 'entropy_norm': 0.9693643820110998, 'weighted_smells': 0.25, 'structural_score': 0.5, 'len_penalty': 0.0, 'valid': False, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6,False,"{'RQI': 0.6644587014053274, 'entropy': 4.334962500721158, 'entropy_norm': 0.9869419906311512, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6644587014053274,True,"{'RQI': 0.6096544111970053, 'entropy': 4.458591205867173, 'entropy_norm': 0.985637258686632, 'weighted_smells': 0.35, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: if', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 2}}",0.6096544111970053,True,"{'RQI': 0.6096544111970053, 'entropy': 4.458591205867173, 'entropy_norm': 0.985637258686632, 'weighted_smells': 0.35, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: if', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 2}}",0.6096544111970053,True
1281,There shall be temperature sensors placed near all critical subcomponents of the component.,defect,near,1,11,There shall be temperature sensors placed near all critical subcomponents of the component.,The system shall install temperature sensors adjacent to each critical subcomponent of the component.,"(""The system shall install temperature sensors within 10 centimeters of each critical subcomponent's physical interface."", [np.int64(384), np.int64(90), np.int64(422)], ['The system should provide warnings to the supervisor about faulty temperatures.', 'Placing navigation components consistently: Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.', 'A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.'])",The system shall install temperature sensors within 10 centimeters of each critical subcomponent's physical interface.,"[np.int64(384), np.int64(90), np.int64(422)]","['The system should provide warnings to the supervisor about faulty temperatures.', 'Placing navigation components consistently: Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.', 'A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.']",The system shall install temperature sensors within 10 centimeters of each critical subcomponent's physical interface.,0,"{'RQI': 0.6, 'entropy': 3.700439718141093, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.05, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': False, 'smell_count': 1, 'smell_list': ['Vague Quantifier: all'], 'category_counts': {'quantifier': 1}}",0.6,False,"{'RQI': 0.8514569324868784, 'entropy': 3.664497779200461, 'entropy_norm': 0.9902871167541444, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8514569324868784,True,"{'RQI': 0.85, 'entropy': 4.0, 'entropy_norm': 1.0, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.85,True,"{'RQI': 0.85, 'entropy': 4.0, 'entropy_norm': 1.0, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.85,True
1490,"In case the component consists of several circuit boards or sub-components, the run-in may be performed separately for each circuit board or sub-component.",defect,several,1,11,"In case the component consists of several circuit boards or sub-components, the run-in may be performed separately for each circuit board or sub-component.",The system shall perform run-in separately for each circuit board or sub-component when the component consists of multiple parts.,"('The system shall perform run-in tests independently for each circuit board or sub-component.', [np.int64(370), np.int64(277), np.int64(270)], ['These are: Individual instruments must be able to run fully independently.', 'In this case there shall be a procedure to replace faulty cards and/or assemblies.', 'These shall automatically exercise all subsystems present in a given operational conﬁguration.'])",The system shall perform run-in tests independently for each circuit board or sub-component.,"[np.int64(370), np.int64(277), np.int64(270)]","['These are: Individual instruments must be able to run fully independently.', 'In this case there shall be a procedure to replace faulty cards and/or assemblies.', 'These shall automatically exercise all subsystems present in a given operational conﬁguration.']",The system shall perform run-in tests independently for each circuit board or sub-component.,0,"{'RQI': 0.47238159022299375, 'entropy': 4.238901256602632, 'entropy_norm': 0.9807893985133747, 'weighted_smells': 0.51, 'structural_score': 0.5, 'len_penalty': 0.0, 'valid': False, 'smell_count': 3, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)', 'Weak Modal: may'], 'category_counts': {'passive': 1, 'non_atomic': 1, 'weak_modal': 1}}",0.47238159022299375,False,"{'RQI': 0.6366273682046775, 'entropy': 4.201841232302569, 'entropy_norm': 0.989150878635484, 'weighted_smells': 0.3, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 1}}",0.6366273682046775,True,"{'RQI': 0.6625, 'entropy': 3.906890595608519, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6625,True,"{'RQI': 0.6625, 'entropy': 3.906890595608519, 'entropy_norm': 1.0000000000000002, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6625,True
441,Information: the combustion engine can be started via the starter when NAK is open or via the electric motor with closed / sliping NAK and open B2 clutch.,ok,close,0,11,Information: the combustion engine can be started via the starter when NAK is open or via the electric motor with closed / sliping NAK and open B2 clutch.,The system shall start the combustion engine via the starter when NAK is open or via the electric motor when NAK is closed and B2 clutch is open.,"('The system shall start the combustion engine using the starter when NAK is open or via the electric motor when NAK is closed and B2 clutch is open.', [np.int64(1412), np.int64(1487), np.int64(1185)], ['M When the traction unit has come to a standstill, the driver shall be able to release the emergency brake.', 'Composite Master Key To open a database you must use all key sources such as password, key file and/or Windows account details that were used when the Master Key was created.', '(I) 5.2.2.1 It shall be possible for the driver to initiate a call to any of the following types of controller with a minimum of driver action being required (eg a single keystroke): (M) primary controller; secondary controller; power supply controller.'])",The system shall start the combustion engine using the starter when NAK is open or via the electric motor when NAK is closed and B2 clutch is open.,"[np.int64(1412), np.int64(1487), np.int64(1185)]","['M When the traction unit has come to a standstill, the driver shall be able to release the emergency brake.', 'Composite Master Key To open a database you must use all key sources such as password, key file and/or Windows account details that were used when the Master Key was created.', '(I) 5.2.2.1 It shall be possible for the driver to initiate a call to any of the following types of controller with a minimum of driver action being required (eg a single keystroke): (M) primary controller; secondary controller; power supply controller.']",The system shall start the combustion engine using the starter when NAK is open.,1,"{'RQI': 0.5059603047658815, 'entropy': 4.356558335416675, 'entropy_norm': 0.9769313015607898, 'weighted_smells': 0.45, 'structural_score': 0.5, 'len_penalty': 0.0, 'valid': False, 'smell_count': 3, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1, 'escape': 1}}",0.5059603047658815,False,"{'RQI': 0.6139202569263729, 'entropy': 4.066108939837481, 'entropy_norm': 0.9571982871575148, 'weighted_smells': 0.35, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 2}}",0.6139202569263729,True,"{'RQI': 0.6138995945642676, 'entropy': 4.137537511266052, 'entropy_norm': 0.957336036238216, 'weighted_smells': 0.35, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 2, 'smell_list': ['Escape Clause: when', 'Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1, 'escape': 2}}",0.6138995945642676,True,"{'RQI': 0.8274055910720017, 'entropy': 3.4677201004744993, 'entropy_norm': 0.9672960595199888, 'weighted_smells': 0.05, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Escape Clause: when'], 'category_counts': {'escape': 1}}",0.8274055910720017,True
1299,For this particular data item the TCU applies additional segementation of data packets on application level.,ok,particular,0,11,For this particular data item the TCU applies additional segementation of data packets on application level.,The system shall segment data packets at the application level for this specific data item.,"(""The system shall segment data packets at the application layer based on the TCU's defined data item processing rules."", [np.int64(684), np.int64(901), np.int64(421)], ['Where applicable, TCS data burst messages shall comply with Variable Message Formats.', 'Section 10 details the handling of other information, such as priority, closed user groups and encryption algorithms, which must be applied consistently in all networks.', 'This module shall process both types of data.'])",The system shall segment data packets at the application layer based on the TCU's defined data item processing rules.,"[np.int64(684), np.int64(901), np.int64(421)]","['Where applicable, TCS data burst messages shall comply with Variable Message Formats.', 'Section 10 details the handling of other information, such as priority, closed user groups and encryption algorithms, which must be applied consistently in all networks.', 'This module shall process both types of data.']",The system shall segment data packets at the application layer based on the TCU's defined data item processing rules.,0,"{'RQI': 0.6, 'entropy': 3.8750000000000004, 'entropy_norm': 0.9918373461380351, 'weighted_smells': 0.0, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': False, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.6,False,"{'RQI': 0.8524408905610881, 'entropy': 3.640223928941852, 'entropy_norm': 0.9837273962594129, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8524408905610881,True,"{'RQI': 0.8537900939586116, 'entropy': 3.9841837197791894, 'entropy_norm': 0.9747327069425891, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8537900939586116,True,"{'RQI': 0.8537900939586116, 'entropy': 3.9841837197791894, 'entropy_norm': 0.9747327069425891, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8537900939586116,True
889,"For early fault diagnosis and avoidance in series production, the contractor must install methods such as SPC, PAT, PAA (`` AV Reliability / Part Average Analysis '' [LH-2170]) etc. for real-time recording and online evaluation of measured data in the process; these can be used to detect and select preliminary damage on the basis of anomalies during the process.",defect,early,1,11,"For early fault diagnosis and avoidance in series production, the contractor must install methods such as SPC, PAT, PAA (`` AV Reliability / Part Average Analysis '' [LH-2170]) etc. for real-time recording and online evaluation of measured data in the process; these can be used to detect and select preliminary damage on the basis of anomalies during the process.","The system shall record and evaluate real-time process data using SPC, PAT, or PAA to detect anomalies indicating preliminary damage.","('The system shall perform real-time statistical process control, process analytics, and part average analysis to detect anomalies indicating early fault conditions.', [np.int64(535), np.int64(384), np.int64(1760)], ['[SSS035] The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the Normal Operations Mode and Training Mode, to include a periodic determination of level of interaction.', 'The system should provide warnings to the supervisor about faulty temperatures.', 'The project Team must allow a reasonable time to conduct User Acceptance Testing (UAT) against the built functionalities prior to deploying the product to the production environment.'])","The system shall perform real-time statistical process control, process analytics, and part average analysis to detect anomalies indicating early fault conditions.","[np.int64(535), np.int64(384), np.int64(1760)]","['[SSS035] The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the Normal Operations Mode and Training Mode, to include a periodic determination of level of interaction.', 'The system should provide warnings to the supervisor about faulty temperatures.', 'The project Team must allow a reasonable time to conduct User Acceptance Testing (UAT) against the built functionalities prior to deploying the product to the production environment.']","The system shall perform real-time statistical process control, process analytics, and part average analysis using threshold [LH-2170] to detect anomalies indicating early fault conditions.",1,"{'RQI': 0.3897275123774041, 'entropy': 5.500138107159236, 'entropy_norm': 0.9795943619284164, 'weighted_smells': 0.4, 'structural_score': 0.25, 'len_penalty': 0.9333333333333333, 'valid': False, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1}}",0.3897275123774041,False,"{'RQI': 0.6625000000000001, 'entropy': 4.392317422778759, 'entropy_norm': 0.9999999999999996, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6625000000000001,True,"{'RQI': 0.6633126084510816, 'entropy': 4.368522527728206, 'entropy_norm': 0.9945826103261223, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6633126084510816,True,"{'RQI': 0.6631569825073877, 'entropy': 4.623516641218016, 'entropy_norm': 0.9956201166174151, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6631569825073877,True
1880,Stop signs shall be signalized as soon as possible while maintaining the false positive rates stated in TSA5_Func-39.,defect,soon,1,11,Stop signs shall be signalized as soon as possible while maintaining the false positive rates stated in TSA5_Func-39.,The system shall signal stop signs immediately without exceeding the false positive rates defined in TSA5_Func-39.,"('The system shall display stop signs no later than 3 seconds after detection, maintaining false positive rates per TSA5_Func-39.', [np.int64(1427), np.int64(139), np.int64(1407)], ['M When the train passes the stop signal, the train trip function shall be suppressed.', 'The system shall utilize consistent symbols and colors for clear notifications.', 'M Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec.'])","The system shall display stop signs no later than 3 seconds after detection, maintaining false positive rates per TSA5_Func-39.","[np.int64(1427), np.int64(139), np.int64(1407)]","['M When the train passes the stop signal, the train trip function shall be suppressed.', 'The system shall utilize consistent symbols and colors for clear notifications.', 'M Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec.']","The system shall display stop signs no later than 3 seconds after detection, maintaining false positive rates per TSA5_Func-39.",0,"{'RQI': 0.6, 'entropy': 4.142664355548849, 'entropy_norm': 0.9934625572680482, 'weighted_smells': 0.15, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': False, 'smell_count': 1, 'smell_list': ['Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1}}",0.6,False,"{'RQI': 0.8511319081589946, 'entropy': 3.96981578242681, 'entropy_norm': 0.9924539456067025, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8511319081589946,True,"{'RQI': 0.8500000000000001, 'entropy': 4.321928094887362, 'entropy_norm': 0.9999999999999998, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8500000000000001,True,"{'RQI': 0.8500000000000001, 'entropy': 4.321928094887362, 'entropy_norm': 0.9999999999999998, 'weighted_smells': 0.0, 'structural_score': 1.0, 'len_penalty': 0.0, 'valid': True, 'smell_count': 0, 'smell_list': [], 'category_counts': {}}",0.8500000000000001,True
1771,"The non-conductive retention string must utilize a material, design, retention method and mounting location similar to the carry over prodcution design of the Smart EV gas cap to ensure robustness and prevent against the string or wire breaking and the sealing protective cap from being lost by the user.",ok,similar,0,11,"The non-conductive retention string must utilize a material, design, retention method and mounting location similar to the carry over prodcution design of the Smart EV gas cap to ensure robustness and prevent against the string or wire breaking and the sealing protective cap from being lost by the user.","The system shall use a non-conductive retention string identical in material, design, retention method, and mounting location to the Smart EV gas cap's production design.","('The system shall use a retention string with material, design, and mounting identical to the Smart EV gas cap’s production design to prevent breakage and cap loss.', [np.int64(1052), np.int64(1451), np.int64(15)], ['(M) SIM cards should be fixed into the radio to protect against accidental loss.', 'M Air tightness control The ETCS on-board shall be capable of receiving information regarding air tightness from the trackside.', 'The System must be able to capture and store violations (i.e.'])","The system shall use a retention string with material, design, and mounting identical to the Smart EV gas cap’s production design to prevent breakage and cap loss.","[np.int64(1052), np.int64(1451), np.int64(15)]","['(M) SIM cards should be fixed into the radio to protect against accidental loss.', 'M Air tightness control The ETCS on-board shall be capable of receiving information regarding air tightness from the trackside.', 'The System must be able to capture and store violations (i.e.']","The system shall use a retention string with material, design, and mounting identical to the Smart EV gas cap’s production design to prevent breakage and cap loss.",0,"{'RQI': 0.46931754062075315, 'entropy': 5.038562939644916, 'entropy_norm': 0.9601052847505342, 'weighted_smells': 0.4, 'structural_score': 0.5, 'len_penalty': 0.6666666666666666, 'valid': False, 'smell_count': 2, 'smell_list': ['Non-Atomic (Multiple Requirements combined)', 'Passive Voice (Missing Actor)'], 'category_counts': {'passive': 1, 'non_atomic': 1}}",0.46931754062075315,False,"{'RQI': 0.664210937246652, 'entropy': 4.532665279941246, 'entropy_norm': 0.9885937516889867, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.664210937246652,True,"{'RQI': 0.6649322610761654, 'entropy': 4.450212064914748, 'entropy_norm': 0.9837849261588978, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6649322610761654,True,"{'RQI': 0.6649322610761654, 'entropy': 4.450212064914748, 'entropy_norm': 0.9837849261588978, 'weighted_smells': 0.25, 'structural_score': 0.75, 'len_penalty': 0.0, 'valid': True, 'smell_count': 1, 'smell_list': ['Non-Atomic (Multiple Requirements combined)'], 'category_counts': {'non_atomic': 1}}",0.6649322610761654,True
